"corpus","preloaded/cup_open_clcu"
"subcorpus",""
"concordance size","1134"
"query","Query:<doc first_language==""Chinese"">[]"
"FCE,2001","<s>","Dear","Peter, Thanks for you letter which you sent me a week ago. </s>"
"FCE,2001","<s>","Dear","Sir/Madam, I saw your advertisement in the newspaper and I am very interested on taking the job. </s>"
"FCE,2001","<s>","Dear","Peter, I am glad to receive your letter because I have not heard from you for ages. </s>"
"FCE,2001","<s>","Dear","Sir/Madam, I would like to apply for the post of USA Summer Camps Helper advertised in ABC magazine on 11th December. </s>"
"FCE,2001","<s>","Dear","Peter, your idea to have a surprise birthday party for Anna was fantastic! </s>"
"FCE,2001","<s>","It","was in the front page of the newspaper. </s>"
"FCE,2001","<s>","11-12-2001","Dear Peter, I am so pleased to receive your letter and be pleasure to give you my advices for Anna''s birthday party. </s>"
"FCE,2001","<s>","Michael","and Jenny have been living together near one year. </s>"
"CPE,2003","<s>","Billions","of people across the globe, from different countries, different ethnicities and different backgrounds share one common activity, sports. </s>"
"CPE,2003","<s>","Humans","and Machines - who is in control? </s>"
"CPE,2003","<s>","Ever","since the days of the early civilizations, sports competitions have not been strange affairs for citizens of that time. </s>"
"CPE,2003","<s>","Phuket",": A Family Holiday Destination. </s>"
"FCE,2004","<s>","Dear","Mrs Harris= I am writing a letter to reply the international student festival in Scotland. </s>"
"FCE,2004","<s>","Dear","friend= I am writing a letter to response from your letter. </s>"
"CPE,2004","<s>","Proposal","(for the exhibition ""Great Achievers"" in College) I would like to suggest a famous Chinese politician as a candidate or our exhibition ""Great Achievers"". </s>"
"CPE,2004","<s>","In","the recent article ""Why so many people do not use the town library"" published at 15th June at page 15 in ""locals"", we have experienced some unhappy trends like many people don''t use the local library so often and the number of book borrowers is constantly reducing. </s>"
"CAE,2004","<s>","Dear","Mr Alcott, I am happy to say that the conference was well organized and successful, in my point of view, of course, and I certainly enjoyed the event. </s>"
"CAE,2004","<s>","Contribution","The most popular TV programme in China is a soap series - Wild Swan. </s>"
"CPE,2004","<s>","To","propose Mr Lee Kuan Yew as one of our Great Achievers I have chosen to propose Mr Lee Kuan Yew as one of the person in the exhibition entitled ""Great Achievers"". </s>"
"CPE,2004","<s>","Ways","to attract more people to visit the local town library. </s>"
"CPE,2004","<s>","Studying","history - a very important task The article in your last issue about studying history made me think about the necessity of this work. </s>"
"CPE,2004","<s>","In","the novel ""The Go-Between"" by L.P. Hartley the protagonist Leo meets two completely different characters: Lord Trimingham and Ted Burgess. </s>"
"CPE,2006","<s>","Dear","Editor: I happened to the article called Food and Health in your magazine one day just after I had surgery in a hospital. </s>"
"CPE,2006","<s>","As","living standard is increasing, people in China start to pay more attention to their health conditions. </s>"
"FCE,2006","<s>","Dear","Mr Dixon, Cinema Manager, It is good to know about the announce base on the extra money to spend on improvements to the Northwood Cinema next year. </s>"
"FCE,2006","<s>","Eating","habits Food is important for us as well as eating habits. </s>"
"FCE,2006","<s>","Dear","Mr Dixon, Cinema Manager, I have just read the leaflet on what should be improved in Northwood Cinema. </s>"
"FCE,2006","<s>","Dear","Jan, Hi Jan, nice to hear from you. </s>"
"CAE,2007","<s>","Report","on the recent international conference This report looks into the degree of succession of this year''s conference, which I have attended previously. </s>"
"CAE,2007","<s>","Dear","Sir/Madam I am determined to apply for the opportunity of going on the expedition after I read your advertisement appeared in last weeks students'' magazine. </s>"
"FCE,2008","<s>","Dear","Chris, Hi! </s>"
"FCE,2008","<s>","Recently",", there''s a new thriller named ""Twilight"", it was the most unforgettable thriller that I ever saw. </s>"
"FCE,2008","<s>","Dear","Chris, Hi! </s>"
"FCE,2008","<s>","The","thriller move that I had recently watched is called Spiderman 3. </s>"
"FCE,2008","<s>","Dear","Chris, Hi! </s>"
"FCE,2008","<s>","I","have watched ""Batman: The Dark Knight"" recently and I believe this thriller is the best. </s>"
"FCE,2008","<s>","Dear","Chris, I received your letter yesterday, and I''m so excited that I could participe the Science Festival in your city at that weekend. </s>"
"FCE,2008","<s>","Friendship","Today. </s>"
"FCE,2008","<s>","Dear","Chris, How are you? </s>"
"FCE,2008","<s>","Friend",", is like a daily needs for every human being. </s>"
"FCE,2008","<s>","Hi","Chris, Thank you for permitting me to stay with you for the weekend. </s>"
"FCE,2008","<s>","The","Phantom''s real name is Erik. </s>"
"FCE,2008","<s>","To","Chris, How are you? </s>"
"FCE,2008","<s>","The","phantom who live in the Opera House which was located in Paris was being described as a man with a face like skeleton, pale yellow skin and with a red eye by the dancers but Christine described the phantom as a man with a great voice, clever in robes and wants a woman''s love so much and with a name called Eric. </s>"
"FCE,2008","<s>","Hello","! </s>"
"FCE,2008","<s>","When","Stella walked into the house, she was astonished to see a suitcase in the hall. </s>"
"FCE,2008","<s>","I","''m so glad too when I have decided to stay with you for the weekend. </s>"
"FCE,2008","<s>","What","comes to your mind at the moment you saw ''Friendship''? of course, you will think about your friends. </s>"
"FCE,2008","<s>","Dear","Chris, Hi, Chris! </s>"
"FCE,2008","<s>","When","Stella walked into the house, she was astonished to see a suitcase in the hall. </s>"
"FCE,2008","<s>","Dear","Chris, I hope that you and your family are in the pink of health. </s>"
"FCE,2008","<s>","When","Stella walked into the house, she was astonished to see a suitcase in the hall. </s>"
"FCE,2008","<s>","Dear","Chris, How have you been? </s>"
"FCE,2008","<s>","The","Phantom of the Opera is a normal person like anyone else. </s>"
"FCE,2008","<s>","Dear","Chris, You couldn''t imagine how exuberant I am to hear that you are glad about my weekend staying with you. </s>"
"FCE,2008","<s>","Friendship","Today. </s>"
"CAE,2008","<s>","Dear","Alex, Thanks for scouting around for our holiday jobs. </s>"
"CAE,2008","<s>","Most","families nowadays only have two generations living together which are the parents and their children. </s>"
"CAE,2008","<s>","Dear","Alex, I''ve received your note and those adverts you''ve sent me concerning our holiday job. </s>"
"CAE,2008","<s>","FAMILY","LIFE OF DIFFERENT GENERATIONS IN THE SAME HOUSE There are various aspects and opinions about the family life in the same house. </s>"
