"corpus","preloaded/cup_open_clcu"
"subcorpus",""
"concordance size","2538"
"query","Query:<doc first_language==""Portuguese"">[]"
"FCE,2001","<s>","Peter",", I''d really think it''ll be a wonderful idea and how much Anna''ll enjoy that. </s>"
"FCE,2001","<s>","Michael","was a smart little boy and everyday he used to play in front of his house with his friends. </s>"
"FCE,2004","<s>","Dear","Mrs Harris I have just receive the letter from you and I am writing to ask some information about the festival. </s>"
"FCE,2004","<s>","Helping","the environment is our big subject and an important job for us. </s>"
"FCE,2004","<s>","Dear","Mrs Harris, Thank you for writting us back. </s>"
"FCE,2004","<s>","Hello","dear penfriend, I''ve ridden your last letter and I totaly agree with you, it''s realy a difficult decision that you will have to make, considering that you always want to do everything. </s>"
"FCE,2004","<s>","Dear","Mrs Harris </s>"
"FCE,2004","<s>","Dear","John </s>"
"FCE,2004","<s>","Dear","Director, David Brown, </s>"
"FCE,2004","<s>","It","is said that some jobs are well paid than others. </s>"
"CAE,2004","<s>","Mark","Alcott, First of all, thank you for the work and effort displayed in your organization of the 5th Annual International Careers Conference. </s>"
"CAE,2004","<s>","To","the Planning Director of the City of Guarapari, The City of Guarapari rejoices at the awarding of the International Development Agency''s grant to improve the transport and housing facilities of this City, a fund that, if wisely employed may provide much assisstance to the many needs we citizens encounter. </s>"
"CPE,2004","<s>","Proposal","for Great Achievers exhibition </s>"
"CPE,2004","<s>","Are","political affairs a snapy subject for literature? </s>"
"CAE,2004","<s>","Dear","Mark, Recently, I attended to a conference organised by you and, as you gave me an opportunity to express my point of view, I decided to write you this letter. </s>"
"CAE,2004","<s>","Fashion","and changing lifestyles If you start to think about how fashion is - especially in clothes - related to lifestyle, you will realise what is quite obvious: people usually try to express their beliefs, through what they wear. </s>"
"CAE,2004","<s>","Dear","Mark Alcott, The main reason why I attended this conference was to learn about how International companies select their employees and how I could improve any qualifications as a finance executive. </s>"
"CAE,2004","<s>","BH","Bank is going on line As of today, your bank has entered the 21st century. </s>"
"CAE,2004","<s>","Dear","Mr Alcott, I am extremely glad for being contacted by you and I am sure that I have important suggestions for the next International Conference about careers. </s>"
"CAE,2004","<s>","Dear","Jack, I think it is a great idea to write a book on TV programmes in different countries, it will surely arise people''s curiosity on the subject. </s>"
"CPE,2004","<s>","''","Pelé'' is the most important soccer play in my country, Brazil, and probably in the whole world as well. </s>"
"CPE,2004","<s>","The","Brazilian weddings </s>"
"CAE,2004","<s>","Dear","Mark Alcott, When I first read the advertisement for the conference, I hoped to have a great sample of different careers and an opportunity get some tips on how to apply for a job. </s>"
"CAE,2004","<s>","How","fashion affect and describe our lifestyle? </s>"
"CPE,2004","<s>","I","propose for this exhibition an athlete called Alexander Popou. </s>"
"CPE,2004","<s>","The","Maxtrix, this movie crossed the border of the ordinary movies. </s>"
"CAE,2004","<s>","Dear","Mr Alcott, I am writing to you in response to your letter in which you asked me to provide you with feedback on the ''5th Annual International Careers Conference''. </s>"
"CAE,2004","<s>","Changes","in how you live affect the way you look Every time we have a look at old grandma''s photos we can''t help getting astonished. </s>"
"CPE,2004","<s>","Background","Information Ayrton Senna, a well-known racing driver called by us, Brazilian people, as ""Ayrton Senna do Brasil"", is undoubtedly an exmple of Great Achievers. </s>"
"CPE,2004","<s>","Dear","SiR or Madam, I am writing in response to the article on people not having been using the town library, published in one of your latest issues. </s>"
"CPE,2004","<s>","I","am writting to adress the exhibition that will be put on by our college entitled great Achievers. </s>"
"CPE,2004","<s>","I","recently saw a film that completely fascinated me. </s>"
"CPE,2004","<s>","INTRODUCTION","</s>"
"CPE,2004","<s>","Dear","Sirs, </s>"
"CPE,2004","<s>","Background","information Last year, a teacher suggested a discussion about famous people at an education meeting here. </s>"
"CPE,2004","<s>","Dear","Sir, I am writing in response to your article about the fact that many people do not use the town library. </s>"
"CPE,2004","<s>","Although","already refered to in several exhibitions, I believe that an important figure to be mentioned would be Mahatama Gandi. </s>"
"CPE,2004","<s>","Dear","sir/madam: After reading the article, published on your newspaper the previous day, I believe it to be my duty to inform you that, as sad as it is, the library doesn''t have codition to atract people. </s>"
