"corpus","preloaded/cup_open_clcu"
"subcorpus",""
"concordance size","2538"
"query","Query:<doc first_language==""Portuguese"">[]"
"FCE,2001","but so good food!. </s><s> I will be very happy to attend for an interview at any time convenient for you. </s><s> Yours Faithfully, </s><s>","Peter",", I''d really think it''ll be a wonderful idea and how much Anna''ll enjoy that. </s><s> We both know she loves parties and she likes"
"FCE,2001","a child. </s><s> She''ll love it. </s><s> There is just one problem, I''ll be busy the day before, but I''ll be there early morning. </s><s> Kisses, </s><s>","Michael","was a smart little boy and everyday he used to play in front of his house with his friends. </s><s> He wasn''t rich so his toys were"
"FCE,2004","he could read: ""I''ve ever loved you John"". </s><s> He was a little cross she hadn''t told him but he decided he would go and meet her. </s><s>","Dear","Mrs Harris I have just receive the letter from you and I am writing to ask some information about the festival. </s><s> I would"
"FCE,2004","some basic story. </s><s> I would like to thank for your attention and I look forward to hearing from you. </s><s> Yours Sincerely. </s><s>","Helping","the environment is our big subject and an important job for us. </s><s> As we have been ruining our environment without think,"
"FCE,2004","the actor. </s><s> It was twelve o''clock when they left from the cinema. </s><s> Mark and Angela looked at each other and started to laugh </s><s>","Dear","Mrs Harris, Thank you for writting us back. </s><s> We are very happy to be able to take part at this festival. </s><s> Our group is a big"
"FCE,2004","take, we are a bit worried with our school we don''t want to miss to much. </s><s> Thank you for this oportuneti The German Group </s><s>","Hello","dear penfriend, I''ve ridden your last letter and I totaly agree with you, it''s realy a difficult decision that you will"
"FCE,2004","of our society and sometimes it is amazing to notice that what was very fashionable many years ago has come out again. </s><s>","Dear","Mrs Harris </s><s> Thanks for your letter. </s><s> I am writing to inform you that my group is of fifteen people, all with ages between 19"
"FCE,2004",", because my group wants more time to visit some touristic place. </s><s> I look forward to hear from you soon. </s><s> Yours faithfully. </s><s>","Dear","John </s><s> Thanks for your letter. </s><s> I''m sorry that you found yourself in this situation, but sometimes we have do make joices. </s>"
"FCE,2004","in order to maintain the high quality of this game. </s><s> They should be paid more than doctors if the economic rules decide so. </s><s>","Dear","Director, David Brown, </s><s> I am writting to give my opinion about the article that I read in the college newsletter. </s><s> Firstly"
"FCE,2004","and built a new library with new material for students. </s><s> I look forward to receiving your reply. </s><s> Yours sincerilly, </s><s>","It","is said that some jobs are well paid than others. </s><s> Well, I think its true. </s><s> In my point of view, professional footballers"
"CAE,2004","have given a few good suggestions, I look forward to seeing my letter pubblished on your newspaper. </s><s> Yours faithfully, </s><s>","Mark","Alcott, First of all, thank you for the work and effort displayed in your organization of the 5th Annual International"
"CAE,2004","attending next year''s conference, and I would highly recommend it if these issues are properly addressed. </s><s> Cordialy, </s><s>","To","the Planning Director of the City of Guarapari, The City of Guarapari rejoices at the awarding of the International"
"CPE,2004","communities, Guarapari will wisely be using the funds provided in a way that will affect most citizens. </s><s> Cordialy, </s><s>","Proposal","for Great Achievers exhibition </s><s> First of all, I would like to welcome this remarkable innitiave and say that certainly"
"CPE,2004",". </s><s> According to what the committe has decided about, I hope you could accept this proposal as suitable for present work. </s><s>","Are","political affairs a snapy subject for literature? </s><s> The two episodes in the book ''The colour of blood'' that I''ve decided"
